_RAJ2000,_DEJ2000,SDSS,z,F1.4GHz,F[OIII],rmag,Dn,sigma*,Cr,logLr,logL[OIII],logMBH,SimbadName,_RA,_DE
00 29 00.9800,-01 13 41.700,J002900.98-011341.7,0.083,282.8,158.5,14.637,1.76,321,3.33,40.86,40.46,9.0,SDSS J002900.98-011341.7,7.25408,-1.22825
00 39 30.5200,-10 32 18.600,J003930.52-103218.6,0.129,23.7,1.9,15.996,1.97,238,3.14,40.19,38.94,8.4,SDSS J003930.52-103218.6,9.87717,-10.5385
00 41 48.2200,-09 17 03.100,J004148.22-091703.1,0.053,53.0,25.6,15.23,2.01,255,3.01,39.72,39.26,8.6,SDSS J004148.22-091703.1,10.45092,-9.28419
00 43 00.6300,-09 13 46.300,J004300.63-091346.3,0.076,148.4,40.7,15.437,1.96,244,3.32,40.5,39.79,8.5,SDSS J004300.63-091346.3,10.75262,-9.22953
00 45 30.4600,-00 47 46.900,J004530.46-004746.9,0.147,12.4,15.1,16.266,2.02,287,3.08,40.03,39.97,8.8,SDSS J004530.46-004746.9,11.37692,-0.79636
01 12 55.1100,-09 50 40.600,J011255.11-095040.6,0.124,81.7,20.8,16.026,1.84,220,2.99,40.69,39.95,8.3,SDSS J011255.11-095040.6,18.22962,-9.84461
01 33 27.2500,-08 24 16.400,J013327.25-082416.4,0.149,218.8,31.9,16.076,2.01,331,3.35,41.29,40.31,9.0,SDSS J013327.25-082416.4,23.36354,-8.40456
01 34 12.7800,-01 07 29.400,J013412.78-010729.4,0.079,119.6,39.6,15.152,2.03,262,3.55,40.44,39.81,8.6,SDSS J013412.78-010729.4,23.55325,-1.12483
01 35 03.4300,-00 54 27.600,J013503.43-005427.6,0.08,39.3,27.8,14.628,2.0,300,3.25,39.96,39.67,8.8,SDSS J013503.43-005427.6,23.76429,-0.90767
01 40 29.5900,+00 18 25.800,J014029.59+001825.8,0.148,12.3,8.2,16.642,1.95,278,3.34,40.03,39.71,8.7,SDSS J014029.59+001825.8,25.12329,0.30717
01 52 53.7900,-00 10 05.500,J015253.79-001005.5,0.082,13.1,22.8,16.487,2.01,187,3.43,39.52,39.61,8.0,SDSS J015253.79-001005.5,28.22412,-0.16819
02 52 27.5200,-07 56 05.400,J025227.52-075605.4,0.078,99.7,10.4,15.348,1.95,237,3.0,40.35,39.22,8.4,SDSS J025227.52-075605.4,43.11467,-7.93483
02 54 37.9900,+00 56 21.900,J025437.99+005621.9,0.067,116.0,52.4,14.903,1.99,272,3.18,40.27,39.78,8.7,SDSS J025437.99+005621.9,43.65829,0.93942
07 30 14.3700,+39 32 00.400,J073014.37+393200.4,0.142,11.3,5.3,16.716,2.07,223,3.08,39.96,39.48,8.3,SDSS J073014.37+393200.4,112.55987,39.53344
07 35 05.2500,+41 58 27.500,J073505.25+415827.5,0.087,67.6,21.9,17.308,1.95,256,2.29,40.28,39.65,8.6,SDSS J073505.26+415827.5,113.77187,41.97431
07 37 19.1800,+29 29 32.000,J073719.18+292932.0,0.111,43.0,4.7,16.038,2.03,231,2.84,40.3,39.19,8.4,SDSS J073719.18+292932.0,114.32992,29.49222
07 41 25.8500,+48 09 14.300,J074125.85+480914.3,0.12,25.7,13.0,16.54,1.94,230,2.91,40.16,39.72,8.4,SDSS J074125.85+480914.3,115.35771,48.15397
07 43 51.2500,+28 21 28.000,J074351.25+282128.0,0.106,20.2,15.5,16.206,1.94,252,3.34,39.94,39.68,8.5,SDSS J074351.25+282128.0,115.96354,28.35778
07 53 09.9100,+35 55 57.100,J075309.91+355557.1,0.113,94.6,9.0,16.304,1.85,246,2.98,40.67,39.5,8.5,SDSS J075309.91+355557.1,118.29129,35.93253
07 55 06.6700,+26 21 15.900,J075506.67+262115.9,0.123,46.0,3.1,16.483,1.94,265,3.03,40.43,39.12,8.6,SDSS J075506.67+262115.9,118.77779,26.35442
08 01 13.2800,+34 40 30.800,J080113.28+344030.8,0.083,45.0,5.5,15.641,2.03,226,3.13,40.06,39.0,8.3,SDSS J080113.28+344030.8,120.30533,34.67522
